comment,category
Amazing work! Loved the animation.,Praise
Fantastic job! Keep it up.,Praise
Absolutely wonderful content.,Praise
"Loved it, brilliant editing.",Praise
This video made my day!,Praise
Amazing work! Loved the animation.,Praise
Fantastic job! Keep it up.,Praise
Absolutely wonderful content.,Praise
"Loved it, brilliant editing.",Praise
This video made my day!,Praise
Amazing work! Loved the animation.,Praise
Fantastic job! Keep it up.,Praise
Absolutely wonderful content.,Praise
"Loved it, brilliant editing.",Praise
This video made my day!,Praise
Amazing work! Loved the animation.,Praise
Fantastic job! Keep it up.,Praise
Absolutely wonderful content.,Praise
"Loved it, brilliant editing.",Praise
This video made my day!,Praise
"Keep going, you're doing great!",Support
We support you always.,Support
"Proud of this work, continue!",Support
You’ve got this!,Support
Your growth is inspiring.,Support
"Keep going, you're doing great!",Support
We support you always.,Support
"Proud of this work, continue!",Support
You’ve got this!,Support
Your growth is inspiring.,Support
"Keep going, you're doing great!",Support
We support you always.,Support
"Proud of this work, continue!",Support
You’ve got this!,Support
Your growth is inspiring.,Support
"Keep going, you're doing great!",Support
We support you always.,Support
"Proud of this work, continue!",Support
You’ve got this!,Support
Your growth is inspiring.,Support
Good effort but the audio could be better.,Constructive Criticism
Nice visuals but pacing needs improvement.,Constructive Criticism
"The intro felt too long, shorten it next time.",Constructive Criticism
Good topic but explanation lacked depth.,Constructive Criticism
The ending could be more engaging.,Constructive Criticism
Good effort but the audio could be better.,Constructive Criticism
Nice visuals but pacing needs improvement.,Constructive Criticism
"The intro felt too long, shorten it next time.",Constructive Criticism
Good topic but explanation lacked depth.,Constructive Criticism
The ending could be more engaging.,Constructive Criticism
Good effort but the audio could be better.,Constructive Criticism
Nice visuals but pacing needs improvement.,Constructive Criticism
"The intro felt too long, shorten it next time.",Constructive Criticism
Good topic but explanation lacked depth.,Constructive Criticism
The ending could be more engaging.,Constructive Criticism
Good effort but the audio could be better.,Constructive Criticism
Nice visuals but pacing needs improvement.,Constructive Criticism
"The intro felt too long, shorten it next time.",Constructive Criticism
Good topic but explanation lacked depth.,Constructive Criticism
The ending could be more engaging.,Constructive Criticism
"This is trash, stop posting.",Hate/Abuse
Worst content ever.,Hate/Abuse
"You should quit, pathetic effort.",Hate/Abuse
"So bad, can’t even watch.",Hate/Abuse
"Garbage video, waste of time.",Hate/Abuse
"This is trash, stop posting.",Hate/Abuse
Worst content ever.,Hate/Abuse
"You should quit, pathetic effort.",Hate/Abuse
"So bad, can’t even watch.",Hate/Abuse
"Garbage video, waste of time.",Hate/Abuse
"This is trash, stop posting.",Hate/Abuse
Worst content ever.,Hate/Abuse
"You should quit, pathetic effort.",Hate/Abuse
"So bad, can’t even watch.",Hate/Abuse
"Garbage video, waste of time.",Hate/Abuse
"This is trash, stop posting.",Hate/Abuse
Worst content ever.,Hate/Abuse
"You should quit, pathetic effort.",Hate/Abuse
"So bad, can’t even watch.",Hate/Abuse
"Garbage video, waste of time.",Hate/Abuse
I’ll report this account.,Threat
This violates community guidelines.,Threat
"If this continues, I’ll take action.",Threat
Better delete this before it gets flagged.,Threat
"I’m warning you, take it down.",Threat
I’ll report this account.,Threat
This violates community guidelines.,Threat
"If this continues, I’ll take action.",Threat
Better delete this before it gets flagged.,Threat
"I’m warning you, take it down.",Threat
I’ll report this account.,Threat
This violates community guidelines.,Threat
"If this continues, I’ll take action.",Threat
Better delete this before it gets flagged.,Threat
"I’m warning you, take it down.",Threat
I’ll report this account.,Threat
This violates community guidelines.,Threat
"If this continues, I’ll take action.",Threat
Better delete this before it gets flagged.,Threat
"I’m warning you, take it down.",Threat
This reminded me of my childhood.,Emotional
Made me smile after a rough day.,Emotional
"I teared up watching this, beautiful.",Emotional
So heartwarming and emotional.,Emotional
This brought back lovely memories.,Emotional
This reminded me of my childhood.,Emotional
Made me smile after a rough day.,Emotional
"I teared up watching this, beautiful.",Emotional
So heartwarming and emotional.,Emotional
This brought back lovely memories.,Emotional
This reminded me of my childhood.,Emotional
Made me smile after a rough day.,Emotional
"I teared up watching this, beautiful.",Emotional
So heartwarming and emotional.,Emotional
This brought back lovely memories.,Emotional
This reminded me of my childhood.,Emotional
Made me smile after a rough day.,Emotional
"I teared up watching this, beautiful.",Emotional
So heartwarming and emotional.,Emotional
This brought back lovely memories.,Emotional
Follow me for followers.,Irrelevant/Spam
Buy cheap likes at this link.,Irrelevant/Spam
Check out my profile for free gifts.,Irrelevant/Spam
Join my channel for giveaways.,Irrelevant/Spam
Subscribe now and win prizes.,Irrelevant/Spam
Follow me for followers.,Irrelevant/Spam
Buy cheap likes at this link.,Irrelevant/Spam
Check out my profile for free gifts.,Irrelevant/Spam
Join my channel for giveaways.,Irrelevant/Spam
Subscribe now and win prizes.,Irrelevant/Spam
Follow me for followers.,Irrelevant/Spam
Buy cheap likes at this link.,Irrelevant/Spam
Check out my profile for free gifts.,Irrelevant/Spam
Join my channel for giveaways.,Irrelevant/Spam
Subscribe now and win prizes.,Irrelevant/Spam
Follow me for followers.,Irrelevant/Spam
Buy cheap likes at this link.,Irrelevant/Spam
Check out my profile for free gifts.,Irrelevant/Spam
Join my channel for giveaways.,Irrelevant/Spam
Subscribe now and win prizes.,Irrelevant/Spam
Can you make a tutorial on this?,Question/Suggestion
Could you explain this topic further?,Question/Suggestion
How did you create this effect?,Question/Suggestion
Please do a video on machine learning.,Question/Suggestion
Any tips for beginners like me?,Question/Suggestion
Can you make a tutorial on this?,Question/Suggestion
Could you explain this topic further?,Question/Suggestion
How did you create this effect?,Question/Suggestion
Please do a video on machine learning.,Question/Suggestion
Any tips for beginners like me?,Question/Suggestion
Can you make a tutorial on this?,Question/Suggestion
Could you explain this topic further?,Question/Suggestion
How did you create this effect?,Question/Suggestion
Please do a video on machine learning.,Question/Suggestion
Any tips for beginners like me?,Question/Suggestion
Can you make a tutorial on this?,Question/Suggestion
Could you explain this topic further?,Question/Suggestion
How did you create this effect?,Question/Suggestion
Please do a video on machine learning.,Question/Suggestion
Any tips for beginners like me?,Question/Suggestion
